stationname	date	rides
21065	O'Hare Airport	2018-06-06	12245
21143	O'Hare Airport	2018-04-08	8961
22053	O'Hare Airport	2018-04-09	10397
22143	O'Hare Airport	2018-06-13	11666
22190	O'Hare Airport	2018-04-26	11881
22236	O'Hare Airport	2018-06-08	14452
22258	O'Hare Airport	2018-04-06	10945
22405	O'Hare Airport	2018-05-04	12727
22543	O'Hare Airport	2018-05-14	11239
22554	O'Hare Airport	2018-06-25	12554
22684	O'Hare Airport	2018-04-11	10221
22919	O'Hare Airport	2018-04-17	10287
22962	O'Hare Airport	2018-06-22	13404
23393	O'Hare Airport	2018-05-07	12437
23589	O'Hare Airport	2018-05-30	10096
23657	O'Hare Airport	2018-04-28	9490
23840	O'Hare Airport	2018-06-03	11299
23902	O'Hare Airport	2018-06-09	10123
23967	O'Hare Airport	2018-04-30	11995
24165	O'Hare Airport	2018-05-25	14486
24261	O'Hare Airport	2018-05-29	12318
24447	O'Hare Airport	2018-06-28	13427
24617	O'Hare Airport	2018-06-24	11812
24787	O'Hare Airport	2018-05-12	9557
24864	O'Hare Airport	2018-05-24	13246
25109	O'Hare Airport	2018-05-28	13242
25545	O'Hare Airport	2018-05-02	9138
25549	O'Hare Airport	2018-04-07	8073
25581	O'Hare Airport	2018-06-14	12583
26017	O'Hare Airport	2018-04-15	9336
26108	O'Hare Airport	2018-04-04	10347
26127	O'Hare Airport	2018-04-12	11322
26238	O'Hare Airport	2018-06-04	11867
26245	O'Hare Airport	2018-04-20	12285
26480	O'Hare Airport	2018-05-05	9393
26682	O'Hare Airport	2018-05-10	13104
26748	O'Hare Airport	2018-06-17	11537
26750	O'Hare Airport	2018-06-21	11981
26899	O'Hare Airport	2018-06-30	9859
26957	O'Hare Airport	2018-05-17	12886
27208	O'Hare Airport	2018-05-20	10914
27285	O'Hare Airport	2018-04-22	10393
27341	O'Hare Airport	2018-06-05	12002
27453	O'Hare Airport	2018-05-09	10522
27756	O'Hare Airport	2018-06-07	13857
27902	O'Hare Airport	2018-06-11	12978
27984	O'Hare Airport	2018-04-16	10616
28211	O'Hare Airport	2018-05-08	11207
