station_id	stationname	date	daytype	rides
16967	40890	O'Hare Airport	2018-02-05	W	9604
17061	40890	O'Hare Airport	2018-01-17	W	6762
17504	40890	O'Hare Airport	2018-01-20	A	6382
17657	40890	O'Hare Airport	2018-06-02	A	9591
17854	40890	O'Hare Airport	2018-04-29	U	10743
18000	40890	O'Hare Airport	2018-05-03	W	11522
18047	40890	O'Hare Airport	2018-05-22	W	12230
18117	40890	O'Hare Airport	2018-04-13	W	12541
18210	40890	O'Hare Airport	2018-04-10	W	9615
18614	40890	O'Hare Airport	2018-06-26	W	10379
18621	40890	O'Hare Airport	2018-06-10	U	11186
18839	40890	O'Hare Airport	2018-06-15	W	13196
18970	40890	O'Hare Airport	2018-06-18	W	11552
19189	40890	O'Hare Airport	2018-04-19	W	11526
19224	40890	O'Hare Airport	2018-04-03	W	9722
19349	40890	O'Hare Airport	2018-06-01	W	13254
19543	40890	O'Hare Airport	2018-04-25	W	10580
19599	40890	O'Hare Airport	2018-06-19	W	11218
19656	40890	O'Hare Airport	2018-04-02	W	10453
20065	40890	O'Hare Airport	2018-05-19	A	9938
20226	40890	O'Hare Airport	2018-05-01	W	10199
20480	40890	O'Hare Airport	2018-04-27	W	12837
20593	40890	O'Hare Airport	2018-04-14	A	8719
20667	40890	O'Hare Airport	2018-05-23	W	12205
20801	40890	O'Hare Airport	2018-05-11	W	12947
20882	40890	O'Hare Airport	2018-06-12	W	11582
20953	40890	O'Hare Airport	2018-06-29	W	14387
21065	40890	O'Hare Airport	2018-06-06	W	12245
21143	40890	O'Hare Airport	2018-04-08	U	8961
22053	40890	O'Hare Airport	2018-04-09	W	10397
22143	40890	O'Hare Airport	2018-06-13	W	11666
22190	40890	O'Hare Airport	2018-04-26	W	11881
22236	40890	O'Hare Airport	2018-06-08	W	14452
22258	40890	O'Hare Airport	2018-04-06	W	10945
22405	40890	O'Hare Airport	2018-05-04	W	12727
22543	40890	O'Hare Airport	2018-05-14	W	11239
22554	40890	O'Hare Airport	2018-06-25	W	12554
22684	40890	O'Hare Airport	2018-04-11	W	10221
22919	40890	O'Hare Airport	2018-04-17	W	10287
22962	40890	O'Hare Airport	2018-06-22	W	13404
23393	40890	O'Hare Airport	2018-05-07	W	12437
23589	40890	O'Hare Airport	2018-05-30	W	10096
23657	40890	O'Hare Airport	2018-04-28	A	9490
23840	40890	O'Hare Airport	2018-06-03	U	11299
23902	40890	O'Hare Airport	2018-06-09	A	10123
23967	40890	O'Hare Airport	2018-04-30	W	11995
24165	40890	O'Hare Airport	2018-05-25	W	14486
24261	40890	O'Hare Airport	2018-05-29	W	12318
24447	40890	O'Hare Airport	2018-06-28	W	13427
24617	40890	O'Hare Airport	2018-06-24	U	11812
24787	40890	O'Hare Airport	2018-05-12	A	9557
24864	40890	O'Hare Airport	2018-05-24	W	13246
25109	40890	O'Hare Airport	2018-05-28	U	13242
25545	40890	O'Hare Airport	2018-05-02	W	9138
25549	40890	O'Hare Airport	2018-04-07	A	8073
25581	40890	O'Hare Airport	2018-06-14	W	12583
26017	40890	O'Hare Airport	2018-04-15	U	9336
26108	40890	O'Hare Airport	2018-04-04	W	10347
26127	40890	O'Hare Airport	2018-04-12	W	11322
26238	40890	O'Hare Airport	2018-06-04	W	11867
26245	40890	O'Hare Airport	2018-04-20	W	12285
26480	40890	O'Hare Airport	2018-05-05	A	9393
26682	40890	O'Hare Airport	2018-05-10	W	13104
26748	40890	O'Hare Airport	2018-06-17	U	11537
26750	40890	O'Hare Airport	2018-06-21	W	11981
26899	40890	O'Hare Airport	2018-06-30	A	9859
26957	40890	O'Hare Airport	2018-05-17	W	12886
27208	40890	O'Hare Airport	2018-05-20	U	10914
27285	40890	O'Hare Airport	2018-04-22	U	10393
27341	40890	O'Hare Airport	2018-06-05	W	12002
27453	40890	O'Hare Airport	2018-05-09	W	10522
27756	40890	O'Hare Airport	2018-06-07	W	13857
27902	40890	O'Hare Airport	2018-06-11	W	12978
27984	40890	O'Hare Airport	2018-04-16	W	10616
28211	40890	O'Hare Airport	2018-05-08	W	11207
28278	40890	O'Hare Airport	2018-05-06	U	10924
28428	40890	O'Hare Airport	2018-05-26	A	11585
28508	40890	O'Hare Airport	2018-05-16	W	11581
28573	40890	O'Hare Airport	2018-06-23	A	10358
28743	40890	O'Hare Airport	2018-04-23	W	11328
28812	40890	O'Hare Airport	2018-05-18	W	13898
28948	40890	O'Hare Airport	2018-04-01	U	9382
28985	40890	O'Hare Airport	2018-06-27	W	12563
29010	40890	O'Hare Airport	2018-05-27	U	9580
29671	40890	O'Hare Airport	2018-04-05	W	11084
29755	40890	O'Hare Airport	2018-05-15	W	12154
29822	40890	O'Hare Airport	2018-05-13	U	11514
29899	40890	O'Hare Airport	2018-05-21	W	12303
29915	40890	O'Hare Airport	2018-06-16	A	9831
30134	40890	O'Hare Airport	2018-04-18	W	10067
30198	40890	O'Hare Airport	2018-04-24	W	10391
30329	40890	O'Hare Airport	2018-05-31	W	12516
30492	40890	O'Hare Airport	2018-06-20	W	12786
30531	40890	O'Hare Airport	2018-04-21	A	8650
33172	40890	O'Hare Airport	2018-07-01	U	9817
33173	40890	O'Hare Airport	2018-07-02	W	11769
33174	40890	O'Hare Airport	2018-07-03	W	11178
33175	40890	O'Hare Airport	2018-07-04	U	10597
33176	40890	O'Hare Airport	2018-07-05	W	11408
33177	40890	O'Hare Airport	2018-07-06	W	12861
33178	40890	O'Hare Airport	2018-07-07	A	10041
33179	40890	O'Hare Airport	2018-07-08	U	12604
33180	40890	O'Hare Airport	2018-07-09	W	12776
33181	40890	O'Hare Airport	2018-07-10	W	11332
33182	40890	O'Hare Airport	2018-07-11	W	12306
33183	40890	O'Hare Airport	2018-07-12	W	13371
33184	40890	O'Hare Airport	2018-07-13	W	15008
33185	40890	O'Hare Airport	2018-07-14	A	10332
33186	40890	O'Hare Airport	2018-07-15	U	12180
33187	40890	O'Hare Airport	2018-07-16	W	11811
33188	40890	O'Hare Airport	2018-07-17	W	11375
33189	40890	O'Hare Airport	2018-07-18	W	12589
33190	40890	O'Hare Airport	2018-07-19	W	15141
33191	40890	O'Hare Airport	2018-07-20	W	15372
33192	40890	O'Hare Airport	2018-07-21	A	10589
33193	40890	O'Hare Airport	2018-07-22	U	11636
33194	40890	O'Hare Airport	2018-07-23	W	12752
33195	40890	O'Hare Airport	2018-07-24	W	12078
33196	40890	O'Hare Airport	2018-07-25	W	11948
33197	40890	O'Hare Airport	2018-07-26	W	13551
33198	40890	O'Hare Airport	2018-07-27	W	14128
33199	40890	O'Hare Airport	2018-07-28	A	10353
33200	40890	O'Hare Airport	2018-07-29	U	11943
33201	40890	O'Hare Airport	2018-07-30	W	12585
33202	40890	O'Hare Airport	2018-07-31	W	11747
37646	40890	O'Hare Airport	2018-08-01	W	13193
37647	40890	O'Hare Airport	2018-08-02	W	14426
37648	40890	O'Hare Airport	2018-08-03	W	14303
37649	40890	O'Hare Airport	2018-08-04	A	10278
37650	40890	O'Hare Airport	2018-08-05	U	11601
37651	40890	O'Hare Airport	2018-08-06	W	12180
37652	40890	O'Hare Airport	2018-08-07	W	10955
37653	40890	O'Hare Airport	2018-08-08	W	12142
37654	40890	O'Hare Airport	2018-08-09	W	14127
37655	40890	O'Hare Airport	2018-08-10	W	16095
37656	40890	O'Hare Airport	2018-08-11	A	10294
37657	40890	O'Hare Airport	2018-08-12	U	11711
37658	40890	O'Hare Airport	2018-08-13	W	11254
